연도_월,지급기준일,실지급일,주당분배금_원,당시종가_원,당시배당수익률_pct,연환산수익률_pct,SEIBRO분배율_pct,종가매칭일
2024-09,2024-09-30,2024-10-04,67,11622,0.576,6.91,0.49963,2024-09-30
2024-10,2024-10-31,2024-11-04,280,11675,2.398,28.78,2.07869,2024-10-31
2024-11,2024-11-29,2024-12-03,67,11774,0.569,6.83,0.48358,2024-11-29
2024-12,2024-12-30,2025-01-03,66,11377,0.58,6.96,0.51064,2024-12-30
2025-01,2025-01-31,2025-02-04,67,11611,0.577,6.92,0.51499,2025-01-31
2025-02,2025-02-28,2025-03-05,66,11305,0.584,7.01,0.51684,2025-02-28
2025-03,2025-03-31,2025-04-02,65,11017,0.59,7.08,0.52525,2025-03-31
2025-04,2025-04-30,2025-05-07,63,11269,0.559,6.71,0.49509,2025-04-30
2025-05,2025-05-30,2025-06-04,68,12412,0.548,6.58,0.4777,2025-05-30
2025-06,2025-06-30,2025-07-02,83,14975,0.554,6.65,0.51077,2025-06-30
2025-07,2025-07-31,2025-08-04,164,15054,1.089,13.07,1.0334,2025-07-31
2025-08,2025-08-29,2025-09-02,80,14775,0.541,6.49,0.50157,2025-08-29
2025-09,2025-09-30,2025-10-02,85,15602,0.545,6.54,0.48963,2025-09-30
2025-10,2025-10-31,2025-11-04,94,17957,0.523,6.28,0.48454,2025-10-31
2025-11,2025-11-28,2025-12-02,93,17658,0.527,6.32,0.48299,2025-11-28
2025-12,2025-12-30,2026-01-05,294,18831,1.561,18.73,1.42166,2025-12-30
2026-01,2026-01-30,2026-02-03,117,23836,0.491,5.89,0.46172,2026-01-30
2026-02,2026-02-27,2026-03-04,148,29077,0.509,6.11,0.59629,2026-02-27
2026-03,2026-03-31,2026-04-02,267,23964,1.114,13.37,1.05575,2026-03-31
2026-04,2026-04-30,2026-05-06,154,29784,0.517,6.2,0.44502,2026-04-30
2026-05,2026-05-29,2026-06-02,181,36052,0.502,6.02,0.48081,2026-05-29
2026-06,2026-06-30,2026-07-02,368,34623,1.063,12.76,1.12642,2026-06-30
2026-07,2026-07-31,2026-08-04,134,28307,0.473,5.68,0.48959,2026-07-31
2026-08,2026-08-31,2026-09-02,145,28610,0.507,6.08,0.51565,2026-08-31
