일자,시가_원,고가_원,저가_원,종가_원,거래량_주,등락률_pct,NAV_원,괴리율_pct,설정좌수,환매좌수,상장좌수,시가총액_원,시가총액_억원,순자산가치_AUM_원,순자산가치_AUM_억원
2025-09-11,11754,11778,11744,11778,1097918,0.4777341750554513,12132.63,0.06,,,,0,0.0,0,0.0
2025-09-12,11837,11862,11832,11832,1357205,0.45848191543555783,12207.35,-0.1,50000.0,0.0,181900000.0,2152240800000,21522.41,2220516965000,22205.17
2025-09-15,11818,11832,11749,11759,1653901,-0.6169709263015551,12105.14,0.12,550000.0,0.0,181950000.0,2139550050000,21395.5,2202530223000,22025.3
2025-09-16,11697,11707,11604,11614,2588434,-1.2330980525554895,11942.54,0.23,0.0,0.0,182500000.0,2119555000000,21195.55,2179513550000,21795.14
2025-09-17,11624,11644,11614,11634,1360508,0.1722059583261581,11991.93,-0.02,600000.0,0.0,182500000.0,2123205000000,21232.05,2188527225000,21885.27
2025-09-18,11678,11741,11678,11731,1306002,0.8337631081313391,12086.68,0.03,900000.0,0.0,183100000.0,2147946100000,21479.46,2213071108000,22130.71
2025-09-19,11741,11788,11741,11754,1401286,0.19606171681868556,12135.67,-0.17,50000.0,50000.0,184000000.0,2162736000000,21627.36,2232963280000,22329.63
2025-09-22,11741,11741,11668,11712,2068009,-0.35732516590096985,12073.24,-0.03,50000.0,0.0,184000000.0,2155008000000,21550.08,2221476160000,22214.76
2025-09-23,11673,11683,11654,11668,1522237,-0.3756830601092896,12032.41,-0.06,0.0,100000.0,184050000.0,2147495400000,21474.95,2214565060500,22145.65
2025-09-24,11731,11764,11722,11764,1472113,0.82276311278711,12144.72,-0.16,50000.0,50000.0,183950000.0,2163987800000,21639.88,2234021244000,22340.21
2025-09-25,11818,11828,11783,11788,1157066,0.20401224073444407,12172.82,-0.19,50000.0,50000.0,183950000.0,2168402600000,21684.03,2239190239000,22391.9
2025-09-26,11788,11828,11778,11828,1236444,0.33932813030200204,12167.91,0.18,0.0,450000.0,183950000.0,2175760600000,21757.61,2238287044500,22382.87
2025-09-29,11888,11893,11828,11838,1381175,0.08454514710855597,12150.97,0.12,0.0,0.0,183500000.0,2172273000000,21722.73,2229702995000,22297.03
2025-09-30,11754,11803,11749,11788,1308142,-0.42236864335191754,12138.2,-0.19,0.0,400000.0,183500000.0,2163098000000,21630.98,2227359700000,22273.6
2025-10-01,11853,11880,11813,11818,1507231,0.2544960977265015,12216.54,-0.59,0.0,0.0,183100000.0,2163875800000,21638.76,2236848474000,22368.48
2025-10-02,11956,11966,11926,11926,1538887,0.9138602132340498,12292.16,-0.3,150000.0,0.0,183100000.0,2183650600000,21836.51,2250694496000,22506.94
2025-10-10,11926,11926,11843,11878,2601189,-0.4024819721616636,12243.9,-0.32,0.0,450000.0,183250000.0,2176643500000,21766.44,2243694675000,22436.95
2025-10-13,11798,11813,11744,11764,2575673,-0.9597575349385419,12069.14,0.17,0.0,200000.0,182800000.0,2150459200000,21504.59,2206238792000,22062.39
2025-10-14,11773,11793,11764,11783,1799867,0.16150969058143488,12166.53,-0.46,0.0,0.0,182600000.0,2151575800000,21515.76,2221608378000,22216.08
2025-10-15,11878,11883,11808,11813,1374449,0.25460409063905626,12173.14,-0.27,50000.0,50000.0,182600000.0,2157053800000,21570.54,2222815364000,22228.15
2025-10-16,11813,11818,11756,11759,1562647,-0.45712350799966145,12115.4,-0.25,100000.0,650000.0,182600000.0,2147193400000,21471.93,2212272040000,22122.72
2025-10-17,11727,11727,11654,11673,1481483,-0.731354707032911,12051.63,-0.47,0.0,700000.0,182050000.0,2125069650000,21250.7,2193999241500,21939.99
2025-10-20,11773,11808,11768,11783,1446754,0.942345583825923,12124.09,-0.12,50000.0,100000.0,181350000.0,2136847050000,21368.47,2198703721500,21987.04
2025-10-21,11878,11931,11868,11912,1753619,1.0947975897479418,12288.69,-0.4,50000.0,50000.0,181300000.0,2159645600000,21596.46,2227939497000,22279.39
2025-10-22,11970,11985,11941,11980,1297888,0.5708529214237743,12348.1,-0.31,50000.0,50000.0,181300000.0,2171974000000,21719.74,2238710530000,22387.11
2025-10-23,11980,12062,11946,12029,1369361,0.4090150250417362,12393.09,-0.27,0.0,50000.0,181300000.0,2180857700000,21808.58,2246867217000,22468.67
2025-10-24,12029,12086,12024,12076,1305889,0.39072242081636044,12393.36,0.13,0.0,800000.0,181250000.0,2188775000000,21887.75,2246296500000,22462.96
