연도_월,지급기준일,실지급일,주당분배금_원,당시종가_원,당시배당수익률_pct,연환산수익률_pct,SEIBRO분배율_pct,종가매칭일
2025-09,2025-09-15,2025-09-17,161,9786,1.645,19.74,1.39878,2025-09-15
2025-10,2025-10-15,2025-10-17,172,10626,1.619,19.43,1.36997,2025-10-15
2025-11,2025-11-14,2025-11-18,196,11588,1.691,20.29,1.50653,2025-11-14
2025-12,2025-12-15,2025-12-17,196,11753,1.668,20.02,1.49276,2025-12-15
2026-01,2026-01-15,2026-01-19,213,13761,1.548,18.58,1.36889,2026-01-15
2026-02,2026-02-13,2026-02-20,244,15949,1.53,18.36,1.33589,2026-02-13
2026-03,2026-03-13,2026-03-17,252,15846,1.59,19.08,1.4359,2026-03-13
2026-04,2026-04-15,2026-04-17,262,17807,1.471,17.65,1.37137,2026-04-15
2026-05,2026-05-15,2026-05-19,348,22232,1.565,18.78,1.54085,2026-05-15
2026-06,2026-06-15,2026-06-17,350,25570,1.369,16.43,1.27737,2026-06-15
2026-07,2026-07-15,2026-07-20,323,21957,1.471,17.65,1.61662,2026-07-15
2026-08,2026-08-14,2026-08-19,270,20750,1.301,15.61,1.40296,2026-08-14
