종목명,CU당수량,평가금액_원,비중_pct
DL,16.0,880000,0.02
SK케미칼,15.0,811500,0.01
종근당,12.0,801600,0.01
대웅제약,7.0,783300,0.01
오리온홀딩스,30.0,763500,0.01
세아베스틸지주,18.0,746100,0.01
하이트진로,46.0,704720,0.01
오뚜기,2.0,665000,0.01
파라다이스,65.0,645450,0.01
동원산업,15.0,573000,0.01
롯데웰푸드,4.0,571600,0.01
OCI,7.0,561400,0.01
대상,29.0,544040,0.01
한일시멘트,32.0,531200,0.01
TKG휴켐스,32.0,525760,0.01
HS효성첨단소재,3.0,516300,0.01
대한유화,5.0,511000,0.01
롯데칠성,5.0,488000,0.01
대웅,29.0,481110,0.01
한샘,12.0,472200,0.01
코스모화학,38.0,402420,0.01
에스디바이오센서,52.0,320320,0.01
한화머시너리앤서비스홀딩스,48.0,300480,0.01
지역난방공사,4.0,298800,0.01
미원상사,2.0,271000,0.0
영풍,7.0,269150,0.0
율촌화학,16.0,248960,0.0
아세아,1.0,221000,0.0
세아제강지주,2.0,214200,0.0
동원시스템즈,8.0,171200,0.0
미원에스씨,1.0,135000,0.0
