일자,시가_원,고가_원,저가_원,종가_원,거래량_주,등락률_pct,NAV_원,괴리율_pct,설정좌수,환매좌수,상장좌수,시가총액_원,시가총액_억원,순자산가치_AUM_원,순자산가치_AUM_억원
2026-06-15,136046,137712,135447,136016,21628640,5.430586776218898,136861.95,-0.42,,,,0,0.0,0,0.0
2026-06-16,139219,140142,136375,139269,16358883,2.3916303964239503,140017.6,-0.33,5300000.0,2050000.0,216150000.0,30102994350000,301029.94,30264804240000,302648.04
2026-06-17,137443,142064,137333,141769,16334013,1.795087205336435,142561.89,-0.36,5400000.0,1900000.0,219400000.0,31104118600000,311041.19,31278078666000,312780.79
2026-06-18,142019,146884,141894,146649,20194392,3.4422193850559717,146823.82,0.08,750000.0,650000.0,222900000.0,32688062100000,326880.62,32727029478000,327270.29
2026-06-19,148700,152148,142812,146614,26673785,-0.023866511193393752,146848.91,0.04,200000.0,2250000.0,223000000.0,32694922000000,326949.22,32747306930000,327473.07
2026-06-22,144399,150432,144055,148056,19374311,0.9835349966578908,148629.96,-0.18,1150000.0,3100000.0,220950000.0,32712973200000,327129.73,32839789662000,328397.9
2026-06-23,148012,148900,132233,132553,32998156,-10.47103798562706,133009.82,-0.14,1900000.0,1400000.0,219000000.0,29029107000000,290291.07,29129150580000,291291.51
2026-06-24,134374,139214,130592,137867,33060925,4.008962452754747,137828.59,0.23,550000.0,4150000.0,219500000.0,30261806500000,302618.06,30253375505000,302533.76
2026-06-25,145686,147822,142832,145537,17234915,5.563332777241834,146297.83,-0.32,2550000.0,3750000.0,215900000.0,31421438300000,314214.38,31585701497000,315857.01
2026-06-26,143700,144559,132328,137104,29538825,-5.794402797913933,137505.43,-0.09,600000.0,4800000.0,214700000.0,29436228800000,294362.29,29522415821000,295224.16
2026-06-29,136220,138431,131654,136140,22293957,-0.7031158828334695,136164.08,0.18,350000.0,1200000.0,210500000.0,28657470000000,286574.7,28662538840000,286625.39
2026-06-30,136130,141006,133037,138301,17132648,1.5873365653004259,137984.1,0.43,2200000.0,2950000.0,209650000.0,28994804650000,289948.05,28928366565000,289283.67
2026-07-01,139389,140272,131350,134254,16502731,-2.926226129962907,134413.86,0.08,2250000.0,3500000.0,208900000.0,28045660600000,280456.61,28079055354000,280790.55
2026-07-02,127308,130961,121705,123281,24287478,-8.173313271857822,122805.42,0.59,1900000.0,450000.0,207650000.0,25599299650000,255993.0,25500545463000,255005.45
2026-07-03,124135,131500,118411,130746,25661288,6.055272101945961,130791.06,0.17,2250000.0,1500000.0,209100000.0,27338988600000,273389.89,27348410646000,273484.11
2026-07-06,132493,134449,125746,129863,20457851,-0.675355268994845,130165.59,-0.03,4500000.0,1850000.0,209850000.0,27251750550000,272517.51,27315249061500,273152.49
2026-07-07,127094,128436,118631,123461,23507024,-4.929810646604499,123362.61,0.28,3100000.0,350000.0,212500000.0,26235462500000,262354.62,26214554625000,262145.55
2026-07-08,119733,125642,115327,116630,28957026,-5.532921327382737,116598.2,0.23,850000.0,100000.0,215250000.0,25104607500000,251046.08,25097762550000,250977.63
2026-07-09,121071,121834,113531,117463,25594810,0.7142244705478864,117715.96,-0.01,1450000.0,150000.0,216000000.0,25372008000000,253720.08,25426647360000,254266.47
2026-07-10,122004,124145,119389,120362,21979352,2.468011203527919,120450.15,0.13,2500000.0,1150000.0,217300000.0,26154662600000,261546.63,26173817595000,261738.18
2026-07-13,119389,121061,107882,108601,28415169,-9.77135640816869,108583.09,0.22,2900000.0,1950000.0,218650000.0,23745608650000,237456.09,23741692628500,237416.93
2026-07-14,108601,111655,102578,109499,34057742,0.826880047145054,109938.07,-0.2,4450000.0,1000000.0,219600000.0,24045980400000,240459.8,24142400172000,241424.0
2026-07-15,116350,119230,115317,116500,21930762,6.393665695577129,117145.18,-0.35,2350000.0,1750000.0,223050000.0,25985325000000,259853.25,26129232399000,261292.32
2026-07-16,110896,111510,106929,108781,20144361,-6.625751072961374,108746.33,0.23,4750000.0,2300000.0,223650000.0,24328870650000,243288.71,24321116704500,243211.17
2026-07-20,104040,108731,102813,103885,24278285,-4.500785982846269,103935.71,0.15,0.0,400000.0,226100000.0,23488398500000,234883.98,23499864031000,234998.64
2026-07-21,103596,109474,102249,107922,20671961,3.88602781922318,108060.02,0.07,1600000.0,2150000.0,225700000.0,24357995400000,243579.95,24389146514000,243891.47
2026-07-22,113341,114768,108097,108097,18658794,0.1621541483664128,108722.54,-0.37,750000.0,1200000.0,225150000.0,24338039550000,243380.4,24478879881000,244788.8
2026-07-23,110996,113371,109928,113002,13497525,4.537591237499653,113375.02,-0.13,2300000.0,1150000.0,224700000.0,25391549400000,253915.49,25475366994000,254753.67
2026-07-24,111305,111460,105233,106151,17015254,-6.062724553547725,106248.95,0.11,400000.0,1450000.0,225850000.0,23974203350000,239742.03,23996325357500,239963.25
2026-07-27,108581,108581,103781,107513,15645077,1.2830778796243087,107626.42,0.1,500000.0,700000.0,224800000.0,24168922400000,241689.22,24194419216000,241944.19
2026-07-28,101350,101695,94619,95482,21953857,-11.190274664459182,95203.53,0.5,3000000.0,1950000.0,224600000.0,21445257200000,214452.57,21382712838000,213827.13
2026-07-29,96420,98711,82543,89425,38980870,-6.343604030078969,89138.64,0.52,850000.0,500000.0,225650000.0,20178751250000,201787.51,20114134116000,201141.34
2026-07-30,89325,94300,86785,87635,40431123,-2.00167738328208,87653.14,-0.02,0.0,0.0,226000000.0,19805510000000,198055.1,19809609640000,198096.1
2026-07-31,97905,110000,97475,108820,34727609,24.17413134021795,105156.98,3.48,0.0,0.0,226000000.0,24593320000000,245933.2,23765477480000,237654.77
2026-08-03,101980,102000,98355,99105,27169695,-8.927586840654293,99117.94,-0.01,12200000.0,1300000.0,226000000.0,22397730000000,223977.3,22400654440000,224006.54
2026-08-04,100720,101110,95720,100330,21430764,1.2360627617173705,100450.72,-0.12,1350000.0,5800000.0,236900000.0,23768177000000,237681.77,23796775568000,237967.76
2026-08-05,105050,105660,103300,104300,18191398,3.956942091099372,104335.7,-0.03,3150000.0,2950000.0,232450000.0,24244535000000,242445.35,24252833465000,242528.33
2026-08-06,102060,103220,98030,98900,14845527,-5.177372962607862,98738.44,0.16,600000.0,3350000.0,232650000.0,23009085000000,230090.85,22971498066000,229714.98
2026-08-07,99800,100880,96515,98090,14130664,-0.8190091001011122,97949.38,0.14,1550000.0,2250000.0,229900000.0,22550891000000,225508.91,22518562462000,225185.62
2026-08-10,98835,100345,97260,98265,13128894,0.1784075848710368,98250.4,0.01,2650000.0,0.0,229200000.0,22522338000000,225223.38,22518991680000,225189.92
2026-08-11,97570,100350,96650,99265,14065397,1.0176563374548415,99224.15,0.04,1750000.0,0.0,231850000.0,23014590250000,230145.9,23005119177500,230051.19
